last_nm,first_nm,middle_nm,obsrvd_behavior,cadet_company,year
,,,"Eichenberg, Richard C (2016) Gender difference in American",,
,,,"public opinion on the use of military force, 1982–2013.",,
,,,International Studies Quarterly 60(1): 138–148.,,
,,,"Elshtain, Jean B (1987) Women and War. Chicago, IL:",,
,,,University of Chicago Press.,,
,,,"Emmenegger, Patrick&Philip Manow (2014) Religion and the",,
,,,gender vote gap: Women’s changed political preferences,,
,,,from the 1970s to 2010. Politics & Society 42(2): 166–193.,,
,,,"Enloe, Cynthia (2000) Maneuvers: The International Politics of",,
,,,"Militarizing Women’s Lives. Oakland, CA: University of",,
,,,California Press.,,
,,,"Enloe, Cynthia (2016) Globalization and Militarism: Feminists",,
,,,"Make the Link. Lanham, MD: Rowman & Littlefield.",,
,,,"Etxebarria, Itziar; Pedro Apodaca, Amaia Eceiza, Ma Jesu´s",,
,,,Fuentes & Ma Jose´ Ortiz (2003) Gender differences in,,
,,,emotions and social behaviour at school age. Journal for the,,
,,,Study of Education and Development 26(2): 147–161.,,
,,,"Feierabend, Ivo K; Rosalind L Feierabend & Ted Robert",,
,,,"Gurr, eds (1972) Anger, Violence, and Politics: Theories and",,
,,,"Research. Englewood Cliffs, NJ: Prentice-Hall.",,
,,,"Feshbach, Norma D (1969) Sex differences in children’s",,
,,,modes of aggressive responses toward outsiders.,,
,,,Merrill-Palmer Quarterly 15(3): 249–258.,,
,,,"Fite, David; Marc Genest & Clyde Wilcox (1990) Gender",,
,,,differences in foreign policy attitudes: A longitudinal analysis.,,
,,,American Politics Quarterly 18(4): 492–513.,,
,,,"Gentry, Caron E (2012) Thinking about women, violence,",,
,,,and agency. International Feminist Journal of Politics,,
,,,14(1): 79–82.,,
,,,"Getmansky, Anna & Thomas Zeitzoff (2014) Terrorism and",,
,,,voting: The effect of rocket threat on voting in Israeli elections.,,
,,,American Political Science Review 108(3): 588–604.,,
,,,"Gilligan, Carol (1982) In a Different Voice. Cambridge, MA:",,
,,,Harvard University Press.,,
,,,"Golan, Galia (2015) Militarization and gender in Israel. In:",,
,,,"Maureen P Flaherty, Sean Byrne, Hamdesa Tuso & Thomas",,
,,,G Matyo´k (eds) Gender and Peacebuilding: All Hands,,
,,,"Required. London: Lexington, 213–228.",,
,,,"Goldstein, Joshua S (2003) War and Gender. New York:",,
,,,Springer.,,
,,,"Golebiowska, Ewa A (1999) Gender gap in political tolerance.",,
,,,Political Behavior 21(1): 43–66.,,
,,,"Gonzalez-Perez, Margaret (2008) Women and Terrorism:",,
,,,Female Activity in Domestic and International Terror Groups.,,
,,,New York: Routledge.,,
,,,"Haider-Markel, Donald P & Andrea Vieux (2008) Gender",,
,,,and conditional support for torture in the war on terror.,,
,,,Politics & Gender 4(1): 5–33.,,
,,,"Halperin, Eran (2015) Emotions in Conflict: Inhibitors and",,
,,,Facilitators of Peace Making. New York: Routledge.,,
,,,"Halperin, Eran; Daphna Canetti-Nisim & Ami Pedahzur",,
,,,(2007) Threatened by the uncontrollable: Psychological,,
,,,and socio-economic antecedents of social distance towards,,
,,,labor migrants in Israel. International Journal of Intercultural,,
,,,Relations 31(4): 459–478.,,
,,,"Harteveld, Eelco; Wouter Van Der Brug, Stefan Dahlberg &",,
,,,Andrej Kokkonen (2015) The gender gap in populist,,
,,,radical-right voting: Examining the demand side in western,,
,,,and eastern Europe. Patterns of Prejudice 49(1): 103–134.,,
,,,"Henshaw, Alexis Leanna (2016) Where women rebel: Patterns",,
,,,"of women’s participation in armed rebel groups,",,
,,,1990–2008. International Feminist Journal of Politics,,
,,,18(1): 39–60.,,
,,,"Hirsch-Hoefler, Sivan; Daphna Canetti & Ami Pedahzur",,
,,,(2010) Two of a kind? Voting motivations for populist,,
,,,radical right and religious fundamentalist parties. Electoral,,
,,,Studies 29(4): 678–690.,,
,,,"Hirsch-Hoefler, Sivan; Daphna Canetti, Carmit Rapaport &",,
,,,Stevan E Hobfoll (2014) Conflict will harden your heart:,,
,,,"Exposure to violence, psychological distress, and peace barriers",,
,,,in Israel and Palestine. British Journal of Political Science,,
,,,46(4): 845–859.,,
,,,"Hirschberger, Gilad; Victor Florian, Mario Mikulincer, Jamie",,
,,,L Goldenberg & Tom Pyszczynski (2002) Gender differences,,
,,,in the willingness to engage in risky behavior: A terror,,
,,,management perspective. Death Studies 26(2): 117–141.,,
,,,"Huddy, Leonie; Stanley Feldman, Theresa Capelos & Colin",,
,,,Provost (2002) The consequences of terrorism: Disentangling,,
,,,the effects of personal and national threat. Political,,
,,,Psychology 23(3): 485–509.,,
,,,"Huddy, Leonie; Stanley Feldman, Charles Taber & Gallya",,
,,,"Lahav (2005) Threat, anxiety, and support of antiterrorism",,
,,,policies. American Journal of Political Science 49(3):,,
,,,593–608.,,
,,,"Hudson, Valerie M; Mary Caprioli, Bonnie Ballif-Spanvill,",,
,,,Rose McDermott & Chad F Emmett (2009) The heart,,
,,,of the matter: The security of women and the security of,,
,,,states. International Security 33(3): 7–45.,,
,,,"Jost, John T (2006) The end of the end of ideology. American",,
,,,Psychologist 61(7): 651–670.,,
,,,"Jost, John T; Aaron C Kay & Hulda Thorisdottir (2009)",,
,,,Social and Psychological Bases of Ideology and System Justification.,,
,,,Oxford: Oxford University Press.,,
,,,"Katz, Sheila H (2003) Women and Gender in Early Jewish and",,
,,,"Palestinian Nationalism. Gainesville, FL: University Press",,
,,,of Florida.,,
,,,"Kimmerling, Baruch (1993) Patterns of militarism in Israel.",,
,,,European Journal of Sociology 34(2): 196–223.,,
,,,"Knight, George P; Ivanna K Guthrie, Melanie C Page &",,
,,,Richard A Fabes (2002) Emotional arousal and gender,,
,,,differences in aggression: A meta-analysis. Aggressive Behavior,,
,,,28(5): 366–393.,,
,,,"Kruglanski, Arie W & Donna M Webster (1996) Motivated",,
,,,closing of the mind: ‘Seizing’ and ‘freezing’. Psychological,,
,,,Review 103(2): 263–283.,,
,,,"Lietaert, Sofie; Debora Roorda, Ferre Laevers, Karine",,
,,,Verschueren & Bieke De Fraine (2015) The gender gap,,
,,,Ben Shitrit et al. 745,,
,,,in student engagement: The role of teachers’ autonomy,,
,,,"support, structure, and involvement. British Journal of Educational",,
,,,Psychology 85(4): 498–518.,,
,,,"Mackenzie, Megan H (2012) Female Soldiers in Sierra Leone:",,
,,,"Sex, Security, and Post-Conflict Development. New York:",,
,,,New York University Press.,,
,,,"Maoz, Ifat & Clark McCauley (2009) Threat perceptions and",,
,,,feelings as predictors of Jewish-Israeli support for compromise,,
,,,with Palestinians. Journal of Peace Research 46(4):,,
,,,525–539.,,
,,,"Mazur, Allan & Alan Booth (1998) Testosterone and dominance",,
,,,in men. Behavioral and Brain Sciences 21(3):,,
,,,353–363.,,
,,,"Mazurana, Dyan & Khristopher Carlson (2004) From Combat",,
,,,to Community: Women and Girls of Sierra Leone (http://,,
,,,www.peacewomen.org/assets/file/Resources/NGO/PartPP,,
,,,GIssueDisp_CombatToCommunty_WomenWagePeace_,,
,,,2004.pdf).,,
,,,"McDermott, Rose (2015) Sex and death: Gender differences",,
,,,in aggression and motivations for violence. International,,
,,,Organization 69(3): 753–775.,,
,,,"McEnaney, Laura (2000) Civil Defense Begins At Home: Militarization",,
,,,"Meets Everyday Life in the Fifties. Princeton, NJ:",,
,,,Princeton University Press.,,
,,,"McEvoy, Sandra (2009) Loyalist women paramilitaries in",,
,,,Northern Ireland: Beginning a feminist conversation,,
,,,about conflict resolution. Security Studies 18(2):,,
,,,262–286.,,
,,,"Mehta, Pranjal H & Jennifer Beer (2010) Neural mechanisms",,
,,,of the testosterone–aggression relation: The role of orbitofrontal,,
,,,cortex. Journal of Cognitive Neuroscience 22(10):,,
,,,2357–2368.,,
,,,"Melander, Erik (2005) Gender equality and intrastate armed",,
,,,conflict. International Studies Quarterly 49(4): 695–714.,,
,,,"Nellis, Ashley Marie (2009) Gender differences in fear of",,
,,,terrorism. Journal of Contemporary Criminal Justice 25(3):,,
,,,322–340.,,
,,,"Nincic, Miroslav & Donna J Nincic (2002) Race, gender, and",,
,,,war. Journal of Peace Research 39(5): 547–568.,,
,,,"Parashar, Swati (2014) Women and Militant Wars: The Politics",,
,,,of Injury. London: Routledge.,,
,,,"Parkinson, Sarah E (2013) Organizing rebellion:",,
,,,Rethinking high-risk mobilization and social networks,,
,,,in war. American Political Science Review 107(3):,,
,,,418–432.,,
,,,"Pedahzur, Ami; Badi Hasisi & Avraham Brichta (2000) A",,
,,,proposed model for explaining political violence in Israel.,,
,,,World Affairs 163(1): 18–27.,,
,,,"Pratto, Felicia; Lisa M Stallworth & Jim Sidanius (1997) The",,
,,,gender gap: Differences in political attitudes and social,,
,,,dominance orientation. British Journal of Social Psychology,,
,,,36(1): 49–68.,,
,,,"Ranchod-Nilsson, Sita & Mary Ann Te´treault, eds (2003)",,
,,,"Women, States and Nationalism: At Home in the Nation?",,
,,,London: Routledge.,,
,,,"Regan, PatrickM& Aida Paskeviciute (2003) Women’s access",,
,,,to politics and peaceful states. Journal of Peace Research,,
,,,40(3): 287–302.,,
,,,"Richardson, Deborah R & Laura R Green (1999) Social sanction",,
,,,and threat explanations of gender effects on direct and,,
,,,indirect aggression. Aggressive Behavior 25(6): 425–434.,,
,,,"Ruddick, Sara (2009) On maternal thinking. Women’s Studies",,
,,,Quarterly 37(2): 305–308.,,
,,,"Sasson-Levy, Orna (2002) Constructing identities at the margins:",,
,,,Masculinities and citizenship in the Israeli army.,,
,,,Sociological Quarterly 43(3): 357–383.,,
,,,"Scheepers, Peer; Merove Gijsberts & Marcel Coenders (2002)",,
,,,Ethnic exclusionism in European countries: Public opposition,,
,,,to civil rights for legalmigrants as a response to perceived,,
,,,ethnic threat. European Sociological Review 18(1): 17–34.,,
,,,"Seltzer, Richard; Jody Newman & Melissa Voorhees Leighton",,
,,,(1997) Sex as a Political Variable: Women as Candidates and,,
,,,"Voters in US Elections. Boulder, CO: Lynne Rienner.",,
,,,"Sjoberg, Laura & Caron E Gentry (2007) Mothers, Monsters,",,
,,,"Whores: Women’s Violence in Global Politics. Chicago, IL:",,
,,,Zed.,,
,,,"Sjoberg, Laura & Sandra Via (2010) Gender, War, and Militarism:",,
,,,"Feminist Perspectives. Santa Barbara, CA:",,
,,,ABC-CLIO.,,
,,,"Sjoberg, Laura & Reed Wood (2015) People, not pawns:",,
,,,Women’s participation in violent extremism across,,
,,,MENA. USAID Research Brief 1: 1–4.,,
,,,"Stephan, Walter G & Cookie White Stephan (2000) An integrated",,
,,,threat theory of prejudice. In: Stuart Oskamp (ed.),,
,,,"Reducing Prejudice and Discrimination. Mahwah, NJ: Lawrence",,
,,,"Erlbaum, 23–45.",,
,,,"Tangney, June Price & Ronda L Dearing (2002) Gender differences",,
,,,in morality. In: Robert F Bornstein & Joseph M,,
,,,Masling (eds) The Psychodynamics of Gender and Gender Role:,,
,,,"Empirical Studies in Psychoanalytic Theories. Washington,",,
,,,"DC: American Psychological Association, 251–269.",,
,,,"Tessler, Mark & Ina Warriner (1997) Gender, feminism, and",,
,,,attitudes toward international conflict: Exploring relationships,,
,,,with survey data from the Middle East. World Politics,,
,,,49(2): 250–281.,,
,,,"Tessler, Mark; Jodi Nachtwey & Audra Grant (1999) Further",,
,,,tests of the women and peace hypothesis: Evidence from,,
,,,cross-national survey research in the Middle East. International,,
,,,Studies Quarterly 43(3): 519–531.,,
,,,"Thomas, Jakana L & Kanisha D Bond (2015) Women’s participation",,
,,,in violent political organizations. American Political,,
,,,Science Review 109(3): 488–506.,,
,,,"Togeby, Lise (1994) The gender gap in foreign policy attitudes.",,
,,,Journal of Peace Research 31(4): 375–392.,,
,,,"Underwood, Marion K (2003) Social Aggression Among Girls.",,
,,,New York: Guilford.,,
,,,"Vaillancourt, Tracy;Mara Brendgen, Michel Boivin & Richard",,
,,,E Tremblay (2003) A longitudinal confirmatory factor analysis,,
,,,of indirect and physical aggression: Evidence of two,,
,,,factors over time? Child Development 74(6): 1628–1638.,,
,,,746 journal of PEACE RESEARCH 54(6),,
,,,"Verona, Edelyn; Americus Reed, John J Curtin & Michele",,
,,,Pole (2007) Gender differences in emotional and overt/,,
,,,covert aggressive responses to stress. Aggressive Behavior,,
,,,33(3): 261–271.,,
,,,"Vogel, Lauren; Louise Porter & Mark Kebbell (2014) The",,
,,,roles of women in contemporary political and revolutionary,,
,,,conflict: A thematic model. Studies in Conflict & Terrorism,,
,,,37(1): 91–114.,,
,,,"Wilcox, Clyde; Lara Hewitt & Dee Allsop (1996) The",,
,,,gender gap in attitudes toward the Gulf War: A,,
,,,cross-national perspective. Journal of Peace Research,,
,,,33(1): 67–82.,,
,,,"Zick, Andreas; Beate Ku¨pper & Andreas Ho¨vermann (2011)",,
,,,"Intolerance, Prejudice and Discrimination: A European",,
,,,Report. Berlin: Friedrich Ebert Foundation.,,
,,,"LIHI BEN SHITRIT, b. 1981, PhD in Political Science",,
,,,"(Yale University, 2012); Assistant Professor, School of Public",,
,,,"and International Affairs, University of Georgia.",,
,,,"JULIA ELAD-STRENGER, b. 1983, PhD in Psychology",,
,,,"(Ben Gurion University, 2015); Post-Doctoral Researcher,",,
,,,Baruch Ivcher School of Psychology at the Interdisciplinary,,
,,,Center (IDC) Herzliya.,,
,,,"SIVAN HIRSCH-HOEFLER, b. 1978, PhD in Political",,
,,,"Science (University of Antwerp); Senior Lecturer, Lauder",,
,,,"School of Government, Diplomacy and Strategy,",,
,,,Interdisciplinary Center (IDC) Herzliya and Director of the,,
,,,Extremism and Political Violence Project at the International,,
,,,Institute for Counter Terrorism (ICT).,,
,,,Ben Shitrit et al. 747,,
